config_name,dataset_name,model,roc_auc_score,lagged,filename,target
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.984763099219621,True,data_9.csv,B
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9778516706870364,True,data_9.csv,F
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.970140277758353,True,data_9.csv,C
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.976481462892324,True,data_9.csv,H
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9655650070235676,True,data_9.csv,D
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9938538317256164,True,data_0.csv,E
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9848743374218544,True,data_0.csv,B
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9661561264822136,True,data_0.csv,F
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.7437048104372883,True,data_0.csv,C
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9403373392126848,True,data_0.csv,H
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.913944284181334,True,data_0.csv,D
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9315001310898968,True,data_6.csv,E
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9704300392176792,True,data_6.csv,H
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.8841383660902377,True,data_6.csv,D
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9807632137669012,True,data_6.csv,A
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.881350149449588,True,data_4.csv,E
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.8806480023486082,True,data_4.csv,F
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9090651807859468,True,data_4.csv,H
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9127114522289972,True,data_4.csv,D
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9174442795948416,True,data_4.csv,A
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.8606668897067022,True,data_5.csv,E
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.8826836917562725,True,data_5.csv,B
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9279883171151372,True,data_5.csv,H
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.7732379276496923,True,data_5.csv,D
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.8779386524666636,True,data_5.csv,A
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.8593714761679951,True,data_1.csv,E
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9281036382442884,True,data_1.csv,F
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.8192805958558369,True,data_1.csv,H
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9132841189573174,True,data_8.csv,E
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9566218842133476,True,data_8.csv,B
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.7817134400930182,True,data_8.csv,F
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.929049741739192,True,data_8.csv,H
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.7990840904027526,True,data_8.csv,D
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.99378236030525,True,data_8.csv,A
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.99462825196338,True,data_3.csv,E
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.8156935529605857,True,data_3.csv,B
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.8634589363232579,True,data_3.csv,F
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.946164471481192,True,data_3.csv,H
lstm_7ts2h_2,SynthNonlin/7ts2h,LSTM,0.9386465986191868,True,data_3.csv,D
