config_name,dataset_name,filename,target,model,explanation,roc_auc_score
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0106.txt,1,transformer,IG,0.711734693877551
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0106.txt,1,transformer,GS,0.711734693877551
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0106.txt,1,transformer,FA,0.711734693877551
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0106.txt,1,transformer,FP,0.711734693877551
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0106.txt,1,transformer,OS,0.711734693877551
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0106.txt,1,transformer,DM,0.711734693877551
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0147.txt,1,transformer,IG,0.6183333333333333
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0147.txt,1,transformer,GS,0.6183333333333333
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0147.txt,1,transformer,FA,0.6183333333333333
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0147.txt,1,transformer,FP,0.6183333333333333
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0147.txt,1,transformer,OS,0.6183333333333333
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0147.txt,1,transformer,DM,0.6183333333333333
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0034.txt,0,transformer,IG,0.7149390243902438
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0034.txt,0,transformer,GS,0.7149390243902438
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0034.txt,0,transformer,FA,0.7149390243902438
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0034.txt,0,transformer,FP,0.7149390243902438
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0034.txt,0,transformer,OS,0.7149390243902438
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0034.txt,0,transformer,DM,0.7149390243902438
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0034.txt,2,transformer,IG,0.6373913043478261
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0034.txt,2,transformer,GS,0.6373913043478261
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0034.txt,2,transformer,FA,0.6373913043478261
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0034.txt,2,transformer,FP,0.6373913043478261
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0034.txt,2,transformer,OS,0.6373913043478261
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0034.txt,2,transformer,DM,0.6373913043478261
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0072.txt,4,transformer,IG,0.8453996983408748
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0072.txt,4,transformer,GS,0.8453996983408748
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0072.txt,4,transformer,FA,0.8453996983408748
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0072.txt,4,transformer,FP,0.8453996983408748
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0072.txt,4,transformer,OS,0.8453996983408748
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0072.txt,4,transformer,DM,0.8453996983408748
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0168.txt,0,transformer,IG,0.7659574468085105
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0168.txt,0,transformer,GS,0.7659574468085105
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0168.txt,0,transformer,FA,0.7659574468085105
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0168.txt,0,transformer,FP,0.7659574468085105
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0168.txt,0,transformer,OS,0.7659574468085105
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0168.txt,0,transformer,DM,0.7659574468085105
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0168.txt,3,transformer,IG,0.707936507936508
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0168.txt,3,transformer,GS,0.707936507936508
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0168.txt,3,transformer,FA,0.707936507936508
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0168.txt,3,transformer,FP,0.707936507936508
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0168.txt,3,transformer,OS,0.707936507936508
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0168.txt,3,transformer,DM,0.707936507936508
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0149.txt,3,transformer,IG,0.7348484848484849
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0149.txt,3,transformer,GS,0.7348484848484849
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0149.txt,3,transformer,FA,0.7348484848484849
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0149.txt,3,transformer,FP,0.7348484848484849
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0149.txt,3,transformer,OS,0.7348484848484849
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0149.txt,3,transformer,DM,0.7348484848484849
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0025.txt,1,transformer,IG,0.6914414414414414
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0025.txt,1,transformer,GS,0.6914414414414414
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0025.txt,1,transformer,FA,0.6914414414414414
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0025.txt,1,transformer,FP,0.6914414414414414
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0025.txt,1,transformer,OS,0.6914414414414414
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0025.txt,1,transformer,DM,0.6914414414414414
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,1,transformer,IG,0.6599999999999999
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,1,transformer,GS,0.6599999999999999
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,1,transformer,FA,0.6599999999999999
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,1,transformer,FP,0.6599999999999999
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,1,transformer,OS,0.6599999999999999
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,1,transformer,DM,0.6599999999999999
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,2,transformer,IG,0.7767676767676768
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,2,transformer,GS,0.7767676767676768
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,2,transformer,FA,0.7767676767676768
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,2,transformer,FP,0.7767676767676768
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,2,transformer,OS,0.7767676767676768
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,2,transformer,DM,0.7767676767676768
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,4,transformer,IG,0.632569558101473
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,4,transformer,GS,0.632569558101473
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,4,transformer,FA,0.632569558101473
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,4,transformer,FP,0.632569558101473
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,4,transformer,OS,0.632569558101473
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0170.txt,4,transformer,DM,0.632569558101473
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0161.txt,3,transformer,IG,0.7315233785822021
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0161.txt,3,transformer,GS,0.7315233785822021
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0161.txt,3,transformer,FA,0.7315233785822021
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0161.txt,3,transformer,FP,0.7315233785822021
transformer_clim_5,TestCLIM_N-5_T-250/returns,TestCLIM_N-5_T-250_0161.txt,3,transformer,OS,0.7315233785822021
