num_nonlagged_parents,num_lagged_parents,num_nonlagged_ancestors,num_lagged_ancestors,num_nonlagged_connected,num_lagged_connected,avg_nonlagged_parents,avg_lagged_parents,avg_nonlagged_ancestors,avg_lagged_ancestors,avg_nonlagged_connected,avg_lagged_connected,target,filename,dataset_name
3,10,6,51,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,E,data_1.csv,SynthNonlin/7ts2h
3,10,6,50,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,B,data_1.csv,SynthNonlin/7ts2h
2,2,1,16,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,F,data_1.csv,SynthNonlin/7ts2h
1,1,0,8,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,C,data_1.csv,SynthNonlin/7ts2h
2,2,1,16,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,H,data_1.csv,SynthNonlin/7ts2h
3,10,6,50,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,D,data_1.csv,SynthNonlin/7ts2h
3,10,6,51,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,A,data_1.csv,SynthNonlin/7ts2h
3,10,6,51,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,E,data_0.csv,SynthNonlin/7ts2h
3,10,6,50,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,B,data_0.csv,SynthNonlin/7ts2h
2,2,1,16,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,F,data_0.csv,SynthNonlin/7ts2h
1,1,0,8,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,C,data_0.csv,SynthNonlin/7ts2h
2,2,1,16,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,H,data_0.csv,SynthNonlin/7ts2h
3,10,6,50,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,D,data_0.csv,SynthNonlin/7ts2h
3,10,6,51,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,A,data_0.csv,SynthNonlin/7ts2h
3,10,6,51,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,E,data_2.csv,SynthNonlin/7ts2h
3,10,6,50,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,B,data_2.csv,SynthNonlin/7ts2h
2,2,1,16,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,F,data_2.csv,SynthNonlin/7ts2h
1,1,0,8,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,C,data_2.csv,SynthNonlin/7ts2h
2,2,1,16,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,H,data_2.csv,SynthNonlin/7ts2h
3,10,6,50,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,D,data_2.csv,SynthNonlin/7ts2h
3,10,6,51,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,A,data_2.csv,SynthNonlin/7ts2h
3,10,6,51,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,E,data_6.csv,SynthNonlin/7ts2h
3,10,6,50,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,B,data_6.csv,SynthNonlin/7ts2h
2,2,1,16,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,F,data_6.csv,SynthNonlin/7ts2h
1,1,0,8,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,C,data_6.csv,SynthNonlin/7ts2h
2,2,1,16,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,H,data_6.csv,SynthNonlin/7ts2h
3,10,6,50,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,D,data_6.csv,SynthNonlin/7ts2h
3,10,6,51,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,A,data_6.csv,SynthNonlin/7ts2h
3,10,6,51,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,E,data_9.csv,SynthNonlin/7ts2h
3,10,6,50,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,B,data_9.csv,SynthNonlin/7ts2h
2,2,1,16,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,F,data_9.csv,SynthNonlin/7ts2h
1,1,0,8,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,C,data_9.csv,SynthNonlin/7ts2h
2,2,1,16,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,H,data_9.csv,SynthNonlin/7ts2h
3,10,6,50,7,63,2.4285714285714284,6.428571428571429,3.7142857142857144,34.57142857142857,7.0,63.0,D,data_9.csv,SynthNonlin/7ts2h
